[ 00:09:35.492 -->  00:09:55.848] GT SPEAKER_04
[ 00:09:43.421 -->  00:09:44.371] GU SPEAKER_03
[ 00:09:44.371 -->  00:09:44.660] GV SPEAKER_00
[ 00:09:55.033 -->  00:10:11.536] GW SPEAKER_02
[ 00:09:57.037 -->  00:09:57.054] GX SPEAKER_00
[ 00:09:57.054 -->  00:09:58.140] GY SPEAKER_04
[ 00:10:11.536 -->  00:10:11.553] GZ SPEAKER_04
[ 00:10:11.553 -->  00:10:13.471] HA SPEAKER_02
[ 00:10:12.809 -->  00:10:17.937] HB SPEAKER_04
[ 00:10:17.937 -->  00:10:33.098] HC SPEAKER_02
[ 00:10:29.550 -->  00:10:30.195] HD SPEAKER_03
[ 00:10:30.195 -->  00:10:30.331] HE SPEAKER_01
[ 00:10:30.331 -->  00:10:30.348] HF SPEAKER_03
[ 00:10:30.348 -->  00:10:30.432] HG SPEAKER_00
[ 00:10:30.432 -->  00:10:31.095] HH SPEAKER_03
[ 00:10:32.011 -->  00:10:48.972] HI SPEAKER_03
[ 00:10:49.227 -->  00:10:57.325] HJ SPEAKER_03
[ 00:10:49.516 -->  00:10:50.127] HK SPEAKER_00
[ 00:10:57.852 -->  00:11:04.983] HL SPEAKER_03
[ 00:11:05.848 -->  00:11:16.222] HM SPEAKER_03
[ 00:11:11.977 -->  00:11:14.303] HN SPEAKER_04
[ 00:11:14.779 -->  00:11:15.339] HO SPEAKER_04
[ 00:11:16.001 -->  00:11:50.449] HP SPEAKER_04
[ 00:11:21.553 -->  00:11:21.587] HQ SPEAKER_02
[ 00:11:21.587 -->  00:11:21.774] HR SPEAKER_03
[ 00:11:21.774 -->  00:11:21.791] HS SPEAKER_00
[ 00:11:50.755 -->  00:12:00.517] HT SPEAKER_04
[ 00:11:54.320 -->  00:11:54.388] HU SPEAKER_01
[ 00:11:54.388 -->  00:11:55.916] HV SPEAKER_00
[ 00:12:00.517 -->  00:12:00.755] HW SPEAKER_00
[ 00:12:01.129 -->  00:12:43.030] HX SPEAKER_04
[ 00:12:27.478 -->  00:12:27.495] HY SPEAKER_00
[ 00:12:27.495 -->  00:12:28.565] HZ SPEAKER_02
[ 00:12:28.769 -->  00:12:29.702] IA SPEAKER_02
[ 00:12:29.702 -->  00:12:29.736] IB SPEAKER_00
[ 00:12:43.455 -->  00:13:00.008] IC SPEAKER_04
[ 00:13:00.365 -->  00:13:02.232] ID SPEAKER_04
[ 00:13:01.095 -->  00:13:07.308] IE SPEAKER_03
[ 00:13:07.308 -->  00:13:08.820] IF SPEAKER_04
[ 00:13:07.767 -->  00:13:09.516] IG SPEAKER_03
[ 00:13:09.516 -->  00:13:17.325] IH SPEAKER_04
[ 00:13:12.368 -->  00:13:12.809] II SPEAKER_00
[ 00:13:12.809 -->  00:13:13.539] IJ SPEAKER_01
[ 00:13:13.539 -->  00:13:13.573] IK SPEAKER_00
[ 00:13:13.573 -->  00:13:13.624] IL SPEAKER_01
[ 00:13:13.624 -->  00:13:13.726] IM SPEAKER_00
[ 00:13:13.726 -->  00:13:13.743] IN SPEAKER_03
[ 00:13:15.135 -->  00:13:15.254] IO SPEAKER_01
[ 00:13:15.254 -->  00:13:15.950] IP SPEAKER_02
[ 00:13:15.950 -->  00:13:15.967] IQ SPEAKER_01
[ 00:13:15.967 -->  00:13:16.290] IR SPEAKER_02
[ 00:13:16.290 -->  00:13:16.341] IS SPEAKER_01
[ 00:13:17.325 -->  00:13:17.342] IT SPEAKER_02
[ 00:13:17.801 -->  00:13:23.573] IU SPEAKER_01
[ 00:13:21.994 -->  00:13:22.232] IV SPEAKER_02
[ 00:13:22.758 -->  00:13:49.753] IW SPEAKER_02
[ 00:13:29.091 -->  00:13:29.125] IX SPEAKER_00
[ 00:13:29.125 -->  00:13:29.550] IY SPEAKER_01
[ 00:13:29.550 -->  00:13:29.634] IZ SPEAKER_00
[ 00:13:48.378 -->  00:13:58.022] JA SPEAKER_03
[ 00:13:57.105 -->  00:14:11.095] JB SPEAKER_02
[ 00:14:09.685 -->  00:14:10.602] JC SPEAKER_00
[ 00:14:11.247 -->  00:14:23.811] JD SPEAKER_02
[ 00:14:24.932 -->  00:14:26.935] JE SPEAKER_02
[ 00:14:25.237 -->  00:14:26.697] JF SPEAKER_03
[ 00:14:26.935 -->  00:14:28.480] JG SPEAKER_03
[ 00:14:28.480 -->  00:14:28.497] JH SPEAKER_01
[ 00:14:28.514 -->  00:14:31.061] JI SPEAKER_01
[ 00:14:31.162 -->  00:14:47.224] JJ SPEAKER_02
[ 00:14:33.879 -->  00:14:34.626] JK SPEAKER_01
[ 00:14:34.626 -->  00:14:34.694] JL SPEAKER_04
[ 00:14:46.782 -->  00:14:55.628] JM SPEAKER_04
[ 00:14:48.921 -->  00:14:49.261] JN SPEAKER_02
[ 00:14:55.713 -->  00:15:02.215] JO SPEAKER_00
[ 00:14:56.154 -->  00:14:56.171] JP SPEAKER_02
[ 00:14:56.205 -->  00:14:56.273] JQ SPEAKER_02
[ 00:15:02.470 -->  00:15:04.151] JR SPEAKER_02
[ 00:15:04.320 -->  00:15:04.337] JS SPEAKER_01
[ 00:15:04.337 -->  00:15:05.696] JT SPEAKER_00
[ 00:15:05.016 -->  00:15:06.392] JU SPEAKER_02
[ 00:15:05.696 -->  00:15:05.764] JV SPEAKER_01
[ 00:15:05.764 -->  00:15:05.848] JW SPEAKER_00
[ 00:15:06.205 -->  00:15:06.239] JX SPEAKER_01
[ 00:15:06.239 -->  00:15:06.358] JY SPEAKER_00
[ 00:15:06.358 -->  00:15:06.375] JZ SPEAKER_01
[ 00:15:06.375 -->  00:15:07.207] KA SPEAKER_00
[ 00:15:06.392 -->  00:15:08.735] KB SPEAKER_01
[ 00:15:07.988 -->  00:15:10.280] KC SPEAKER_02
[ 00:15:08.887 -->  00:15:13.692] KD SPEAKER_01
[ 00:15:13.845 -->  00:15:15.000] KE SPEAKER_04
[ 00:15:14.558 -->  00:15:16.001] KF SPEAKER_01
[ 00:15:16.001 -->  00:15:17.988] KG SPEAKER_00
[ 00:15:16.731 -->  00:15:17.818] KH SPEAKER_01
[ 00:15:17.988 -->  00:15:18.005] KI SPEAKER_01
[ 00:15:18.005 -->  00:15:29.685] KJ SPEAKER_04
[ 00:15:29.668 -->  00:15:37.173] KK SPEAKER_01
[ 00:15:37.631 -->  00:15:57.258] KL SPEAKER_01
[ 00:15:56.918 -->  00:15:58.633] KM SPEAKER_04
[ 00:15:58.022 -->  00:16:01.095] KN SPEAKER_01
[ 00:15:59.957 -->  00:16:02.945] KO SPEAKER_04
[ 00:16:02.113 -->  00:16:09.414] KP SPEAKER_01
